,close,Search Trends,DayOfWeek
2020-01-26 20:00:00,,47.0,4
2020-01-26 21:00:00,,56.0,4
2020-01-26 22:00:00,,66.0,4
2020-01-26 23:00:00,,78.0,4
2020-01-27 00:00:00,,82.0,5
2020-01-27 01:00:00,,79.0,5
2020-01-27 02:00:00,,77.0,5
2020-01-27 03:00:00,,66.0,5
2020-01-27 04:00:00,,50.0,5
2020-01-27 05:00:00,,32.0,5
2020-01-27 06:00:00,,17.0,5
2020-01-27 07:00:00,,9.0,5
2020-01-27 08:00:00,,6.0,5
2020-01-27 09:00:00,639.54,8.0,5
2020-01-27 10:00:00,638.65,13.0,5
2020-01-27 11:00:00,644.825,23.0,5
2020-01-27 12:00:00,649.675,38.0,5
2020-01-27 13:00:00,653.34,51.0,5
2020-01-27 14:00:00,651.71,59.0,5
2020-01-27 15:00:00,653.86,63.0,5
2020-01-27 16:00:00,,67.0,5
2020-01-27 17:00:00,,68.0,5
2020-01-27 18:00:00,,72.0,5
2020-01-27 19:00:00,,75.0,5
2020-01-27 20:00:00,,77.0,5
2020-01-27 21:00:00,,81.0,5
2020-01-27 22:00:00,,93.0,5
2020-01-27 23:00:00,,98.0,5
2020-01-28 00:00:00,,100.0,5
2020-01-28 01:00:00,,93.0,5
2020-01-28 02:00:00,,88.0,5
2020-01-28 03:00:00,,70.0,5
2020-01-28 04:00:00,,53.0,5
2020-01-28 05:00:00,,33.0,5
2020-01-28 06:00:00,,17.0,5
2020-01-28 07:00:00,,10.0,5
2020-01-28 08:00:00,,8.0,5
2020-01-28 09:00:00,661.43,9.0,5
2020-01-28 10:00:00,674.65,16.0,5
2020-01-28 11:00:00,672.44,28.0,5
2020-01-28 12:00:00,674.015,42.0,5
2020-01-28 13:00:00,673.91,52.0,5
2020-01-28 14:00:00,674.94,59.0,5
2020-01-28 15:00:00,674.8,65.0,5
2020-01-28 16:00:00,,66.0,5
2020-01-28 17:00:00,,69.0,5
2020-01-28 18:00:00,,72.0,5
2020-01-28 19:00:00,,74.0,5
2020-01-28 20:00:00,,73.0,5
2020-01-28 21:00:00,,80.0,5
2020-01-28 22:00:00,,88.0,5
